model,metric,med_dirichlet,med_mlr,med_diff,rel_change_pct,p,rbc,practically_significant,p_adj,statistically_significant
lgbm,cal_nll,0.20029384446216694,0.22141398753100044,-0.025785136260072148,-9.538757376778847,8.934875950217247e-09,-0.8888888888888888,True,1.4295801520347595e-07,True
lgbm,cal_ece_mean,0.01546806902444335,0.041022736173599,-0.02421412138999325,-62.293911944376504,1.6696867533028126e-07,-0.8888888888888888,True,1.5027180779725313e-06,True
lgbm,cal_brier_score,0.1231651072022327,0.1274828005967519,-0.004363065364754793,-3.3868830730952855,7.275957614183426e-10,-0.8333333333333334,True,1.4551915228366852e-08,True
xgboost,cal_nll,0.21631837888030545,0.2483726760826485,-0.025255127228461613,-12.905726067740511,1.862645149230957e-08,-0.8888888888888888,True,2.7939677238464355e-07,True
xgboost,cal_ece_mean,0.01877123097170735,0.0393553389431955,-0.01919052839691235,-52.3032160927358,6.912159733474255e-08,-0.8333333333333334,True,8.985807653516531e-07,True
xgboost,cal_brier_score,0.12600174246870832,0.13276420495219945,-0.004760964254835642,-5.093588656615611,1.862645149230957e-08,-0.7777777777777778,True,2.7939677238464355e-07,True
catboost,cal_nll,0.22036744522062873,0.28690668162097405,-0.02384833297287109,-23.191943814068715,1.4551915228366852e-10,-0.8888888888888888,True,3.4924596548080444e-09,True
catboost,cal_ece_mean,0.0151456014453673,0.04028404532196335,-0.01565101667744085,-62.402977843166774,3.304739948362112e-07,-0.8888888888888888,True,2.6437919586896896e-06,True
catboost,cal_brier_score,0.1251446009797225,0.13612048744509125,-0.0066280242573506926,-8.063361123208034,6.024492904543877e-09,-0.7777777777777778,True,1.024163793772459e-07,True
single_mlp,cal_nll,0.25000058840243344,0.29981196470434135,-0.021820700526878706,-16.614205624191563,2.0372681319713593e-10,-0.8888888888888888,True,4.685716703534126e-09,True
single_mlp,cal_ece_mean,0.0198789300773616,0.044195754409254204,-0.018656622613144803,-55.020724630510834,1.0841176845133305e-07,-0.8333333333333334,True,1.1925294529646635e-06,True
single_mlp,cal_brier_score,0.14114465767431364,0.1487426527619023,-0.004677498869119959,-5.108148164972584,6.61849626339972e-05,-0.5,True,0.0001323699252679944,True
mc_dropout,cal_nll,0.2601290232473108,0.2940792676217455,-0.021248085427059957,-11.544589541790701,1.6007106751203537e-09,-0.8333333333333334,True,2.8812792152166367e-08,True
mc_dropout,cal_ece_mean,0.020534100348181303,0.04385919693650065,-0.016596614274239543,-53.18176851730647,1.0841176845133305e-07,-0.8888888888888888,True,1.1925294529646635e-06,True
mc_dropout,cal_brier_score,0.143157054159085,0.15614988556412562,-0.003440327164156362,-8.320743469072152,7.807108340784907e-05,-0.6111111111111112,True,0.0001323699252679944,True
deep_ensemble,cal_nll,0.24795853587056338,0.2796028428428403,-0.021176718951190193,-11.317591284314526,7.275957614183426e-10,-0.8888888888888888,True,1.4551915228366852e-08,True
deep_ensemble,cal_ece_mean,0.020789962531126298,0.0433192913463195,-0.0169210037985953,-52.00761165523392,8.043716661632061e-07,-0.7777777777777778,True,5.630601663142443e-06,True
deep_ensemble,cal_brier_score,0.1346898790495925,0.1414870084293941,-0.0032715510129431996,-4.804066080168446,6.656715413555503e-06,-0.6666666666666666,True,2.662686165422201e-05,True
deep_ensemble_m3,cal_nll,0.2428321903610396,0.28153993932197724,-0.026270814703988815,-13.748581836792379,2.9103830456733704e-10,-0.8888888888888888,True,6.402842700481415e-09,True
deep_ensemble_m3,cal_ece_mean,0.01915593644641945,0.044989436365966196,-0.0171535261251648,-57.421257091118804,6.912159733474255e-08,-0.9444444444444444,True,8.985807653516531e-07,True
deep_ensemble_m3,cal_brier_score,0.13454434174151686,0.1391196671558343,-0.003208870200402364,-3.288769667046717,3.3327145501971245e-05,-0.5555555555555556,True,9.998143650591373e-05,True
deep_ensemble_m10,cal_nll,0.2408394444820397,0.28013145896395353,-0.023685133564895988,-14.026277029803286,5.529727786779404e-10,-0.8888888888888888,True,1.1612428352236748e-08,True
deep_ensemble_m10,cal_ece_mean,0.019676497448244852,0.0415016517664539,-0.0169857306510336,-52.58864018479979,2.566695911809802e-06,-0.7777777777777778,True,1.5400175470858812e-05,True
deep_ensemble_m10,cal_brier_score,0.13412799851419188,0.143427799420823,-0.003686165116213308,-6.483959834972531,3.958528395742178e-06,-0.7222222222222222,True,1.979264197871089e-05,True
