w_nll,w_ece,w_brier,model,winning_calibrator
0.0,0.0,1.0,catboost,dirichlet
0.0,0.0,1.0,deep_ensemble,temp
0.0,0.0,1.0,deep_ensemble_m10,temp_member
0.0,0.0,1.0,deep_ensemble_m3,temp_member
0.0,0.0,1.0,lgbm,temp
0.0,0.0,1.0,mc_dropout,temp
0.0,0.0,1.0,single_mlp,none
0.0,0.0,1.0,xgboost,isotonic
0.0,0.1,0.9,catboost,dirichlet
0.0,0.1,0.9,deep_ensemble,temp
0.0,0.1,0.9,deep_ensemble_m10,temp
0.0,0.1,0.9,deep_ensemble_m3,temp
0.0,0.1,0.9,lgbm,temp
0.0,0.1,0.9,mc_dropout,temp
0.0,0.1,0.9,single_mlp,temp
0.0,0.1,0.9,xgboost,isotonic
0.0,0.2,0.8,catboost,dirichlet
0.0,0.2,0.8,deep_ensemble,temp
0.0,0.2,0.8,deep_ensemble_m10,temp
0.0,0.2,0.8,deep_ensemble_m3,temp
0.0,0.2,0.8,lgbm,temp
0.0,0.2,0.8,mc_dropout,temp
0.0,0.2,0.8,single_mlp,temp
0.0,0.2,0.8,xgboost,isotonic
0.0,0.3,0.7,catboost,dirichlet
0.0,0.3,0.7,deep_ensemble,temp
0.0,0.3,0.7,deep_ensemble_m10,temp
0.0,0.3,0.7,deep_ensemble_m3,temp
0.0,0.3,0.7,lgbm,temp
0.0,0.3,0.7,mc_dropout,temp
0.0,0.3,0.7,single_mlp,temp
0.0,0.3,0.7,xgboost,isotonic
0.0,0.4,0.6,catboost,dirichlet
0.0,0.4,0.6,deep_ensemble,temp
0.0,0.4,0.6,deep_ensemble_m10,temp
0.0,0.4,0.6,deep_ensemble_m3,temp
0.0,0.4,0.6,lgbm,temp
0.0,0.4,0.6,mc_dropout,temp
0.0,0.4,0.6,single_mlp,temp
0.0,0.4,0.6,xgboost,isotonic
0.0,0.5,0.5,catboost,dirichlet
0.0,0.5,0.5,deep_ensemble,temp
0.0,0.5,0.5,deep_ensemble_m10,temp
0.0,0.5,0.5,deep_ensemble_m3,temp
0.0,0.5,0.5,lgbm,dirichlet
0.0,0.5,0.5,mc_dropout,temp
0.0,0.5,0.5,single_mlp,temp
0.0,0.5,0.5,xgboost,isotonic
0.0,0.6,0.4,catboost,dirichlet
0.0,0.6,0.4,deep_ensemble,temp
0.0,0.6,0.4,deep_ensemble_m10,temp
0.0,0.6,0.4,deep_ensemble_m3,temp
0.0,0.6,0.4,lgbm,dirichlet
0.0,0.6,0.4,mc_dropout,temp
