task_id,name,n_samples,n_features,n_classes,size_regime
14970,har,10299,561,6,large
32,pendigits,10992,16,10,large
14952,PhishingWebsites,11055,30,2,large
6,letter,20000,16,26,large
167119,jungle_chess_2pcs_raw_endgame_complete,44819,6,3,large
14965,bank-marketing,45211,16,2,large
219,electricity,45312,8,2,large
167124,CIFAR_10,60000,3072,10,large
146195,connect-4,67557,42,3,large
3573,mnist_784,70000,784,10,large
146825,Fashion-MNIST,70000,784,10,large
167120,numerai28.6,96320,21,2,large
146800,MiceProtein,1080,77,8,medium
23,cmc,1473,9,3,medium
146821,car,1728,6,4,medium
14,mfeat-fourier,2000,76,10,medium
18,mfeat-morphological,2000,6,10,medium
45,splice,3190,60,3,medium
167125,Internet-Advertisements,3279,1558,2,medium
3021,sick,3772,29,2,medium
146820,wilt,4839,5,2,medium
9960,wall-robot-navigation,5456,24,4,medium
9985,first-order-theorem-proving,6118,51,6,medium
2074,satimage,6430,36,6,medium
3913,kc2,522,21,2,small
14954,cylinder-bands,540,37,2,small
146819,climate-model-simulation-crashes,540,18,2,small
9946,wdbc,569,30,2,small
29,credit-approval,690,15,2,small
15,breast-w,699,9,2,small
2079,eucalyptus,736,19,5,small
10101,blood-transfusion-service-center,748,4,2,small
3560,analcatdata_dmft,797,4,6,small
3549,analcatdata_authorship,841,70,4,small
49,tic-tac-toe,958,9,2,small
3022,vowel,990,12,11,small
