task_id,dataset_name,n_samples,regime,n_classes,seed,config_idx,is_fixed,hidden_dims,lr,dropout,weight_decay,val_cal_nll,nll_ts,ece_ts,brier_ts,nll_raw,temperature
6,letter,20000,large,26,0,0,True,"(256, 128)",0.001,0.1,0.0001,0.0849186554551124,0.0802242755889892,0.0065284825166066,0.0402488633990287,0.080725759267807,0.9303783178329468
6,letter,20000,large,26,0,1,False,"(512, 256)",0.0001,0.1,0.001,0.1136146262288093,0.1026725023984909,0.0080041679466764,0.0524877533316612,0.1147175878286361,0.7503625750541687
6,letter,20000,large,26,0,2,False,"(256, 128, 64)",0.0001,0.05,0.0001,0.1325298398733139,0.123665377497673,0.0073574115311106,0.0613730661571025,0.1416353434324264,0.7462000250816345
6,letter,20000,large,26,0,3,False,"(256, 128)",0.001,0.3,0.001,0.0932860746979713,0.0859675332903862,0.0051643038615584,0.044625598937273,0.088538147509098,0.8634686470031738
6,letter,20000,large,26,0,4,False,"(256, 128)",0.0005,0.3,1e-05,0.1158739626407623,0.105064682662487,0.008786980797847,0.0540806762874126,0.1125183999538421,0.7891539335250854
6,letter,20000,large,26,0,5,False,"(512, 256)",0.0005,0.05,0.001,0.0891661494970321,0.0868978947401046,0.0057989975946644,0.0440878681838512,0.0878331065177917,0.929832935333252
6,letter,20000,large,26,0,6,False,"(512, 256)",0.0001,0.0,0.001,0.0984346196055412,0.0997161418199539,0.0072402735427021,0.0511843562126159,0.103361040353775,0.8439785242080688
6,letter,20000,large,26,0,7,False,"(128, 64)",0.0005,0.3,0.001,0.2437726855278015,0.2194842845201492,0.0093953791943688,0.1038798689842224,0.2428042143583297,0.7275171279907227
6,letter,20000,large,26,0,8,False,"(64, 32)",0.0001,0.1,0.0001,0.7067098021507263,0.5989031195640564,0.0367589787840843,0.2455632239580154,0.7158477902412415,0.6272420883178711
6,letter,20000,large,26,0,9,False,"(128, 64)",0.003,0.2,0.001,0.1177455335855484,0.1129980757832527,0.0069690581932663,0.0569750070571899,0.1137261837720871,0.9425703287124634
6,letter,20000,large,26,0,10,False,"(512, 256, 128)",0.0005,0.1,0.001,0.0725587755441665,0.0766142755746841,0.0076207267691691,0.0413887575268745,0.0766316950321197,1.0045018196105957
6,letter,20000,large,26,0,11,False,"(512, 256)",0.003,0.0,0.0001,0.1007269322872161,0.0828431546688079,0.0059455131689707,0.042287528514862,0.0852565616369247,1.3189128637313845
6,letter,20000,large,26,0,12,False,"(256, 128, 64)",0.001,0.3,0.0,0.0927346646785736,0.0994729325175285,0.008050867502888,0.0512234196066856,0.100081667304039,0.8980538845062256
6,letter,20000,large,26,0,13,False,"(128, 64)",0.003,0.0,0.001,0.1229553967714309,0.1167911514639854,0.006926296763122,0.0593627914786338,0.1199226826429367,1.1752873659133911
6,letter,20000,large,26,0,14,False,"(512, 256, 128)",0.0005,0.05,0.0,0.0798560082912445,0.0775858014822006,0.0048246196409066,0.0382271185517311,0.078916348516941,1.1317903995513916
6,letter,20000,large,26,1,0,True,"(256, 128)",0.001,0.1,0.0001,0.0913869589567184,0.0863427966833114,0.0051710231093068,0.0426118522882461,0.0864115729928016,1.0659844875335691
6,letter,20000,large,26,1,1,False,"(512, 256)",0.0001,0.1,0.001,0.1250006109476089,0.1085506454110145,0.0074866065954168,0.0546618737280368,0.121005468070507,0.7840644717216492
6,letter,20000,large,26,1,2,False,"(256, 128, 64)",0.0001,0.05,0.0001,0.1506197303533554,0.126553326845169,0.0073698308778305,0.0620453432202339,0.1439545005559921,0.7809913158416748
6,letter,20000,large,26,1,3,False,"(256, 128)",0.001,0.3,0.001,0.1020978987216949,0.0936093255877494,0.0052272707397739,0.0461191721260547,0.0958403944969177,0.9047272801399232
6,letter,20000,large,26,1,4,False,"(256, 128)",0.0005,0.3,1e-05,0.124363288283348,0.1117207407951355,0.0088480503844718,0.0556470416486263,0.118631899356842,0.8368417620658875
6,letter,20000,large,26,1,5,False,"(512, 256)",0.0005,0.05,0.001,0.0930508747696876,0.0823337733745575,0.0045540100038051,0.0401127859950065,0.0835686326026916,1.2037417888641355
6,letter,20000,large,26,1,6,False,"(512, 256)",0.0001,0.0,0.001,0.114428773522377,0.1050932481884956,0.0049876066396633,0.052504401654005,0.1081516742706298,0.8950919508934021
6,letter,20000,large,26,1,7,False,"(128, 64)",0.0005,0.3,0.001,0.2540470659732818,0.2354769706726074,0.0126772860102355,0.1092695668339729,0.2580357491970062,0.7560703158378601
6,letter,20000,large,26,1,8,False,"(64, 32)",0.0001,0.1,0.0001,0.7226073145866394,0.6280081868171692,0.0370665948931128,0.2540498077869415,0.7326587438583374,0.6612721085548401
6,letter,20000,large,26,1,9,False,"(128, 64)",0.003,0.2,0.001,0.1377842426300048,0.1243579313158989,0.0082241415629784,0.0611993707716465,0.1272692829370498,0.9119420647621156
6,letter,20000,large,26,1,10,False,"(512, 256, 128)",0.0005,0.1,0.001,0.0888440608978271,0.0805253684520721,0.0053099457298716,0.0408707745373249,0.080942578613758,1.1044811010360718
6,letter,20000,large,26,1,11,False,"(512, 256)",0.003,0.0,0.0001,0.1150689721107482,0.115853413939476,0.0070863242261111,0.0576485209167003,0.1170668751001358,1.0949722528457642
6,letter,20000,large,26,1,12,False,"(256, 128, 64)",0.001,0.3,0.0,0.1031097173690795,0.0997514799237251,0.0052967622876167,0.0475085079669952,0.0998861193656921,0.9838138818740844
6,letter,20000,large,26,1,13,False,"(128, 64)",0.003,0.0,0.001,0.1341940760612487,0.1194091439247131,0.0059160138169924,0.0593966282904148,0.126281201839447,1.271739482879639
6,letter,20000,large,26,1,14,False,"(512, 256, 128)",0.0005,0.05,0.0,0.0835008844733238,0.0758127570152282,0.0056572751576701,0.0379894450306892,0.0801153033971786,1.2782021760940552
6,letter,20000,large,26,2,0,True,"(256, 128)",0.001,0.1,0.0001,0.1026346012949943,0.0847133994102478,0.0047421182493369,0.041852667927742,0.0845928639173507,1.0202245712280271
6,letter,20000,large,26,2,1,False,"(512, 256)",0.0001,0.1,0.001,0.1279948949813842,0.1040669307112693,0.0093157065659761,0.0487524420022964,0.1158006638288497,0.7843419313430786
