task_id,config_idx,dataset_name,n_samples,regime,n_classes,is_fixed,hidden_dims,lr,dropout,weight_decay,mean_val_nll,n_seeds,fixed_val_nll,val_nll_delta
6,10,letter,20000,large,26,False,"(512, 256, 128)",0.0005,0.1,0.001,0.08548333942890161,5,0.09616403281688683,-0.010680693387985218
14,7,mfeat-fourier,2000,medium,10,False,"(128, 64)",0.0005,0.3,0.001,0.4834508717060089,5,0.5109767258167267,-0.027525854110717785
15,9,breast-w,699,small,2,False,"(128, 64)",0.003,0.2,0.001,0.09356985390186308,5,0.09741850048303599,-0.0038486465811729126
18,12,mfeat-morphological,2000,medium,10,False,"(256, 128, 64)",0.001,0.3,0.0,0.6045989394187927,5,0.610538101196289,-0.005939161777496316
23,7,cmc,1473,medium,3,False,"(128, 64)",0.0005,0.3,0.001,0.9563639402389527,5,0.9626985907554626,-0.006334650516509943
29,5,credit-approval,690,small,2,False,"(512, 256)",0.0005,0.05,0.001,0.32606957852840424,5,0.3319338023662567,-0.005864223837852456
32,10,pendigits,10992,large,10,False,"(512, 256, 128)",0.0005,0.1,0.001,0.01758299469947808,5,0.02178199309855694,-0.004198998399078859
45,7,splice,3190,medium,3,False,"(128, 64)",0.0005,0.3,0.001,0.3607259511947632,5,0.39875286221504214,-0.03802691102027894
49,14,tic-tac-toe,958,small,2,False,"(512, 256, 128)",0.0005,0.05,0.0,0.16487463116645812,5,0.22334693074226375,-0.05847229957580563
219,14,electricity,45312,large,2,False,"(512, 256, 128)",0.0005,0.05,0.0,0.36463198065757746,5,0.38202393651008604,-0.017391955852508578
2074,1,satimage,6430,medium,6,False,"(512, 256)",0.0001,0.1,0.001,0.2328423351049423,5,0.24279177188873285,-0.009949436783790566
2079,12,eucalyptus,736,small,5,False,"(256, 128, 64)",0.001,0.3,0.0,0.7937052249908447,5,0.9221017241477967,-0.12839649915695195
3021,0,sick,3772,medium,2,True,"(256, 128)",0.001,0.1,0.0001,0.06603095680475232,5,0.06603095680475232,0.0
3022,9,vowel,990,small,11,False,"(128, 64)",0.003,0.2,0.001,0.19662470221519462,5,0.2248351156711578,-0.028210413455963174
3549,11,analcatdata_authorship,841,small,4,False,"(512, 256)",0.003,0.0,0.0001,0.00555748892948024,5,0.013669607974588821,-0.008112119045108581
3560,3,analcatdata_dmft,797,small,6,False,"(256, 128)",0.001,0.3,0.001,1.7726165771484375,5,1.7850674390792847,-0.012450861930847212
3573,1,mnist_784,70000,large,10,False,"(512, 256)",0.0001,0.1,0.001,0.09721581935882562,5,0.10341737866401668,-0.006201559305191062
3913,4,kc2,522,small,2,False,"(256, 128)",0.0005,0.3,1e-05,0.382747745513916,5,0.42071427702903746,-0.03796653151512147
9946,6,wdbc,569,small,2,False,"(512, 256)",0.0001,0.0,0.001,0.08785080611705776,5,0.10185890570282932,-0.014008099585771566
9960,9,wall-robot-navigation,5456,medium,4,False,"(128, 64)",0.003,0.2,0.001,0.22609677016735077,5,0.26903893947601315,-0.042942169308662376
9985,2,first-order-theorem-proving,6118,medium,6,False,"(256, 128, 64)",0.0001,0.05,0.0001,1.2402365922927856,5,1.259696102142334,-0.019459509849548473
10101,7,blood-transfusion-service-center,748,small,2,False,"(128, 64)",0.0005,0.3,0.001,0.49712163805961607,5,0.5011041283607482,-0.00398249030113218
14952,4,PhishingWebsites,11055,large,2,False,"(256, 128)",0.0005,0.3,1e-05,0.0922917023301124,5,0.1020332440733909,-0.0097415417432785
14954,4,cylinder-bands,540,small,2,False,"(256, 128)",0.0005,0.3,1e-05,0.4848060429096222,5,0.5075993776321411,-0.022793334722518932
14965,9,bank-marketing,45211,large,2,False,"(128, 64)",0.003,0.2,0.001,0.21837317049503327,5,0.22679616808891293,-0.008422997593879655
14970,2,har,10299,large,6,False,"(256, 128, 64)",0.0001,0.05,0.0001,0.041936892271041845,5,0.050161239504814104,-0.008224347233772258
146195,12,connect-4,67557,large,3,False,"(256, 128, 64)",0.001,0.3,0.0,0.4429212808609009,5,0.4564834892749786,-0.013562208414077737
146800,11,MiceProtein,1080,medium,8,False,"(512, 256)",0.003,0.0,0.0001,0.01657090196385974,5,0.01998373884707682,-0.0034128368832170783
146819,5,climate-model-simulation-crashes,540,small,2,False,"(512, 256)",0.0005,0.05,0.001,0.18850387334823604,5,0.21014051437377929,-0.021636641025543246
146820,7,wilt,4839,medium,2,False,"(128, 64)",0.0005,0.3,0.001,0.036556263267993876,5,0.04032882153987882,-0.0037725582718849474
146821,11,car,1728,medium,4,False,"(512, 256)",0.003,0.0,0.0001,0.03987900540232654,5,0.07256237417459484,-0.032683368772268295
146825,4,Fashion-MNIST,70000,large,10,False,"(256, 128)",0.0005,0.3,1e-05,0.30178040862083433,5,0.307914137840271,-0.006133729219436668
167119,10,jungle_chess_2pcs_raw_endgame_complete,44819,large,3,False,"(512, 256, 128)",0.0005,0.1,0.001,0.2062741309404373,5,0.24005302190780636,-0.03377889096736905
167120,7,numerai28.6,96320,large,2,False,"(128, 64)",0.0005,0.3,0.001,0.691826057434082,5,0.6931875348091125,-0.001361477375030562
167124,3,CIFAR_10,60000,large,10,False,"(256, 128)",0.001,0.3,0.001,1.2831316232681274,5,1.3258841037750244,-0.04275248050689706
167125,6,Internet-Advertisements,3279,medium,2,False,"(512, 256)",0.0001,0.0,0.001,0.09977966248989102,5,0.10412058532238004,-0.004340922832489019
