task_id,dataset_name,n_samples,regime,n_classes,model_label,nll_ts,ece_ts,brier_ts
6,letter,20000,large,26,SingleMLP_Fixed,0.0847133994102478,0.0051710231093068,0.041852667927742
6,letter,20000,large,26,SingleMLP_Tuned,0.0824426487088203,0.0062330058390895,0.0404751449823379
6,letter,20000,large,26,LightGBM,0.1358883082866668,0.00639498732239,0.0635748133063316
6,letter,20000,large,26,XGBoost,0.1412623822689056,0.0077391107082367,0.0656933933496475
6,letter,20000,large,26,DeepEnsemble_M5,0.0721199288964271,0.0049870578423142,0.0354534089565277
14,mfeat-fourier,2000,medium,10,SingleMLP_Fixed,0.4845134019851684,0.0566813000167409,0.2546922564506531
14,mfeat-fourier,2000,medium,10,SingleMLP_Tuned,0.4570268988609314,0.0464429545029997,0.2386868298053741
14,mfeat-fourier,2000,medium,10,LightGBM,0.4581152200698852,0.0491590954860051,0.2481214106082916
14,mfeat-fourier,2000,medium,10,XGBoost,0.461703896522522,0.0468168520679076,0.2470873594284057
14,mfeat-fourier,2000,medium,10,DeepEnsemble_M5,0.4560639560222626,0.0509467016160488,0.2445921003818512
15,breast-w,699,small,2,SingleMLP_Fixed,0.099674254655838,0.0220044858398891,0.0468436814844608
15,breast-w,699,small,2,SingleMLP_Tuned,0.1010922342538833,0.0201976882559912,0.0473681092262268
15,breast-w,699,small,2,LightGBM,0.0995548367500305,0.0229664578324272,0.0515347085893154
15,breast-w,699,small,2,XGBoost,0.1044496595859527,0.0268342707838331,0.0534980371594429
15,breast-w,699,small,2,DeepEnsemble_M5,0.0961520597338676,0.0236998582170123,0.0460084713995456
18,mfeat-morphological,2000,medium,10,SingleMLP_Fixed,0.5919201374053955,0.0486562294016281,0.313172310590744
18,mfeat-morphological,2000,medium,10,SingleMLP_Tuned,0.5836460590362549,0.0415950723489125,0.3121667206287384
18,mfeat-morphological,2000,medium,10,LightGBM,0.6774299740791321,0.0658857824156681,0.3590019345283508
18,mfeat-morphological,2000,medium,10,XGBoost,0.6863220930099487,0.0781112904846668,0.3629518151283264
18,mfeat-morphological,2000,medium,10,DeepEnsemble_M5,0.5846327543258667,0.0452304867158333,0.3147749304771423
23,cmc,1473,medium,3,SingleMLP_Fixed,0.9233250617980956,0.0611166077818574,0.5518884062767029
23,cmc,1473,medium,3,SingleMLP_Tuned,0.915332853794098,0.0675199870335853,0.5370227694511414
23,cmc,1473,medium,3,LightGBM,0.915834367275238,0.0765505522657922,0.5451828241348267
23,cmc,1473,medium,3,XGBoost,0.909679353237152,0.0629146286323245,0.5430173873901367
23,cmc,1473,medium,3,DeepEnsemble_M5,0.9186858534812928,0.0642833742381489,0.5438145995140076
29,credit-approval,690,small,2,SingleMLP_Fixed,0.3725063800811767,0.0682694832771872,0.2209037393331527
29,credit-approval,690,small,2,SingleMLP_Tuned,0.3617193698883056,0.0617438736169234,0.2148264646530151
29,credit-approval,690,small,2,LightGBM,0.3183535039424896,0.0653191233314753,0.1885055899620056
29,credit-approval,690,small,2,XGBoost,0.3479063510894775,0.0702464689955043,0.206630453467369
29,credit-approval,690,small,2,DeepEnsemble_M5,0.3586965501308441,0.0587669085477285,0.2094634920358657
