imbalance_bucket,model,dirichlet,isotonic,logistic,none,temp,temp_member
low (≤2),catboost,0.2744,0.3489,0.3229,0.3141,0.3081,
low (≤2),deep_ensemble,0.2662,0.3431,0.3292,0.2581,0.2498,0.2555
low (≤2),deep_ensemble_m10,0.2456,0.3045,0.3266,0.2551,0.2415,0.2481
low (≤2),deep_ensemble_m3,0.2624,0.314,0.3328,0.2546,0.247,0.2489
low (≤2),lgbm,0.2383,0.3317,0.2746,0.2447,0.2406,
low (≤2),mc_dropout,0.2916,0.3641,0.3448,0.2909,0.2688,
low (≤2),single_mlp,0.271,0.3482,0.3485,0.2707,0.2633,
low (≤2),xgboost,0.249,0.3418,0.2828,0.2576,0.2504,
medium (2–5),catboost,0.3867,0.5254,0.4096,0.3879,0.3781,
medium (2–5),deep_ensemble,0.3715,0.5787,0.4017,0.3742,0.3744,0.3742
medium (2–5),deep_ensemble_m10,0.3723,0.5741,0.398,0.3655,0.3684,0.3737
medium (2–5),deep_ensemble_m3,0.3781,0.5829,0.4059,0.3779,0.3786,0.3867
medium (2–5),lgbm,0.3844,0.5073,0.413,0.3843,0.3838,
medium (2–5),mc_dropout,0.4136,0.5591,0.4341,0.4069,0.4077,
medium (2–5),single_mlp,0.4119,0.593,0.436,0.4052,0.4113,
medium (2–5),xgboost,0.4061,0.4873,0.4176,0.4131,0.4039,
high (>5),catboost,0.1176,0.1988,0.1281,0.0866,0.0875,
high (>5),deep_ensemble,0.1266,0.1289,0.181,0.1201,0.1225,0.1257
high (>5),deep_ensemble_m10,0.1318,0.1308,0.1862,0.1186,0.1231,0.1281
high (>5),deep_ensemble_m3,0.1245,0.1179,0.1797,0.1191,0.1234,0.1262
high (>5),lgbm,0.1146,0.1216,0.1205,0.0893,0.0881,
high (>5),mc_dropout,0.1494,0.2043,0.1943,0.1427,0.1461,
high (>5),single_mlp,0.146,0.2075,0.1939,0.1481,0.1486,
high (>5),xgboost,0.1156,0.1268,0.1395,0.0841,0.0839,
