family,comparison,metric,calibrator,model,n,med_a,med_b,med_diff,p,p_adj,sig,rbc,magnitude,note,wins,losses,ties
H4,deep_ensemble_m3 vs deep_ensemble,cal_nll,temp,,36,0.23499596118926996,0.23401750624179835,0.0013194042257964932,0.00858427706407383,0.1115956018329598,False,0.4954954954954955,medium,ensemble size effect,26,10,0
H4,deep_ensemble_m3 vs deep_ensemble,cal_ece_mean,temp,,36,0.0180512052945842,0.016916196309972348,0.00026440905614035295,0.508866571035469,1.0,False,0.12912912912912913,small,ensemble size effect,20,16,0
H4,deep_ensemble_m3 vs deep_ensemble,cal_brier_score,temp,,36,0.13384018093347544,0.13264241814613342,0.000989684835076294,0.000991061155218631,0.014867071993649006,True,0.6096096096096096,large,ensemble size effect,29,7,0
H4,deep_ensemble_m10 vs deep_ensemble,cal_nll,temp,,36,0.23182465881109235,0.23401750624179835,-0.0012494325637817313,0.000269419135292992,0.004580125299980864,True,-0.6666666666666666,large,ensemble size effect,8,28,0
H4,deep_ensemble_m10 vs deep_ensemble,cal_ece_mean,temp,,36,0.0166408433791031,0.016916196309972348,0.00035750570079519936,0.7740053430898115,1.0,False,-0.057057057057057055,small,ensemble size effect,20,16,0
H4,deep_ensemble_m10 vs deep_ensemble,cal_brier_score,temp,,36,0.1324464604258537,0.13264241814613342,-0.0005539953708648543,0.01392684379243292,0.14616784171084873,False,-0.46546546546546547,medium,ensemble size effect,8,28,0
H4,deep_ensemble_m10 vs deep_ensemble_m3,cal_nll,temp,,36,0.23182465881109235,0.23499596118926996,-0.002850383520126294,0.00025036028819158673,0.004506485187448561,True,-0.6696696696696697,large,ensemble size effect,8,28,0
H4,deep_ensemble_m10 vs deep_ensemble_m3,cal_ece_mean,temp,,36,0.0166408433791031,0.0180512052945842,-0.0007420118485361505,0.1762826904305257,1.0,False,-0.26126126126126126,small,ensemble size effect,15,21,0
H4,deep_ensemble_m10 vs deep_ensemble_m3,cal_brier_score,temp,,36,0.1324464604258537,0.13384018093347544,-0.0011757304891944487,0.0009291919996030629,0.014867071993649006,True,-0.6126126126126126,large,ensemble size effect,12,24,0
H4,deep_ensemble_m3 vs deep_ensemble,cal_nll,dirichlet,,36,0.2428321903610396,0.24795853587056338,0.0007519798301655889,0.2515454127569683,1.0,False,0.2222222222222222,small,ensemble size effect,23,13,0
H4,deep_ensemble_m3 vs deep_ensemble,cal_ece_mean,dirichlet,,36,0.01915593644641945,0.020789962531126298,7.84130877078998e-05,0.6580869711178821,1.0,False,0.08708708708708708,small,ensemble size effect,20,16,0
H4,deep_ensemble_m3 vs deep_ensemble,cal_brier_score,dirichlet,,36,0.13454434174151686,0.1346898790495925,0.0008063956096165141,0.009480974142206833,0.113771689706482,False,0.4894894894894895,medium,ensemble size effect,25,11,0
H4,deep_ensemble_m10 vs deep_ensemble,cal_nll,dirichlet,,36,0.2408394444820397,0.24795853587056338,-0.001274138658983348,0.013287985610077158,0.14616784171084873,False,-0.46846846846846846,medium,ensemble size effect,9,27,0
H4,deep_ensemble_m10 vs deep_ensemble,cal_ece_mean,dirichlet,,36,0.019676497448244852,0.020789962531126298,-0.0002070569124969499,0.4413570295437239,1.0,False,-0.15015015015015015,small,ensemble size effect,12,24,0
H4,deep_ensemble_m10 vs deep_ensemble,cal_brier_score,dirichlet,,36,0.13412799851419188,0.1346898790495925,-0.000405239315508496,0.2581243624736089,1.0,False,-0.21921921921921922,small,ensemble size effect,15,21,0
H4,deep_ensemble_m10 vs deep_ensemble_m3,cal_nll,dirichlet,,36,0.2408394444820397,0.2428321903610396,-0.0015788719099714965,0.05770623646094464,0.5193561281485017,False,-0.3633633633633634,medium,ensemble size effect,13,23,0
H4,deep_ensemble_m10 vs deep_ensemble_m3,cal_ece_mean,dirichlet,,36,0.019676497448244852,0.01915593644641945,7.071036115050043e-05,0.6580869711178821,1.0,False,0.08708708708708708,small,ensemble size effect,18,18,0
H4,deep_ensemble_m10 vs deep_ensemble_m3,cal_brier_score,dirichlet,,36,0.13412799851419188,0.13454434174151686,-0.0011698489088849493,0.005692560313036665,0.07969584438251331,False,-0.5195195195195195,large,ensemble size effect,11,25,0
