family,comparison,metric,calibrator,model,n,med_a,med_b,med_diff,p,p_adj,sig,rbc,magnitude,note,wins,losses,ties
H1,deep_ensemble vs lgbm,cal_nll,none,,36,0.2356910854578018,0.20400285032497234,-0.004899649836703157,0.5393326855264604,1.0,False,-0.12012012012012012,small,raw model comparison,16,20,0
H1,deep_ensemble vs lgbm,cal_ece_mean,none,,36,0.02370947238255565,0.030692086346412552,-0.00284549714717425,0.12664361778297462,1.0,False,-0.29429429429429427,small,raw model comparison,15,21,0
H1,deep_ensemble vs lgbm,cal_brier_score,none,,36,0.1341898068785667,0.12426655853629326,-0.004124005317517027,0.41403430147329345,1.0,False,-0.15915915915915915,small,raw model comparison,14,22,0
H1,deep_ensemble vs xgboost,cal_nll,none,,36,0.2356910854578018,0.2207204923033714,-0.002157215029001243,0.31492819578852504,1.0,False,-0.19519519519519518,small,raw model comparison,14,22,0
H1,deep_ensemble vs xgboost,cal_ece_mean,none,,36,0.02370947238255565,0.03139668076824225,-0.0012305124041987513,0.2030111110652797,1.0,False,-0.24624624624624625,small,raw model comparison,15,21,0
H1,deep_ensemble vs xgboost,cal_brier_score,none,,36,0.1341898068785667,0.1262535154819488,-0.0018347864970565033,0.37916652829153463,1.0,False,-0.17117117117117117,small,raw model comparison,15,21,0
H1,deep_ensemble vs catboost,cal_nll,none,,36,0.2356910854578018,0.26396981314894524,-0.0088614443808867,0.42303156715934165,1.0,False,-0.15615615615615616,small,raw model comparison,17,19,0
H1,deep_ensemble vs catboost,cal_ece_mean,none,,36,0.02370947238255565,0.03851591447796405,-0.0069251412454988505,0.002205942291766405,0.06838421104475856,False,-0.5705705705705706,large,raw model comparison,11,25,0
H1,deep_ensemble vs catboost,cal_brier_score,none,,36,0.1341898068785667,0.13082906717292425,-0.0022436578923139047,0.4413570295437239,1.0,False,-0.15015015015015015,small,raw model comparison,18,18,0
H1,single_mlp vs lgbm,cal_nll,none,,36,0.24763847887516022,0.20400285032497234,0.010697407796674108,0.1663407605374232,1.0,False,0.2672672672672673,small,raw model comparison,21,15,0
H1,single_mlp vs lgbm,cal_ece_mean,none,,36,0.02762454516287365,0.030692086346412552,-0.0024295412219523995,0.09458264440763742,1.0,False,-0.3213213213213213,medium,raw model comparison,15,21,0
H1,single_mlp vs lgbm,cal_brier_score,none,,36,0.13891846686601633,0.12426655853629326,0.005360822200946136,0.1568159700545948,1.0,False,0.2732732732732733,small,raw model comparison,22,14,0
H1,single_mlp vs xgboost,cal_nll,none,,36,0.24763847887516022,0.2207204923033714,0.00825519859790802,0.2515454127569683,1.0,False,0.2222222222222222,small,raw model comparison,21,15,0
H1,single_mlp vs xgboost,cal_ece_mean,none,,36,0.02762454516287365,0.03139668076824225,-0.0021478924972177047,0.24508141286787577,1.0,False,-0.22522522522522523,small,raw model comparison,14,22,0
H1,single_mlp vs xgboost,cal_brier_score,none,,36,0.13891846686601633,0.1262535154819488,0.0030858907848596608,0.31492819578852504,1.0,False,0.19519519519519518,small,raw model comparison,21,15,0
H1,single_mlp vs catboost,cal_nll,none,,36,0.24763847887516022,0.26396981314894524,0.0017603666378417648,0.7740053430898115,1.0,False,0.057057057057057055,small,raw model comparison,20,16,0
H1,single_mlp vs catboost,cal_ece_mean,none,,36,0.02762454516287365,0.03851591447796405,-0.0077418912573901984,0.0015379003889393061,0.0507507128349971,False,-0.5885885885885885,large,raw model comparison,13,23,0
H1,single_mlp vs catboost,cal_brier_score,none,,36,0.13891846686601633,0.13082906717292425,0.0013540031949652968,0.8219589346845169,1.0,False,0.04504504504504504,small,raw model comparison,20,16,0
H1,mc_dropout vs lgbm,cal_nll,none,,36,0.2573724091053009,0.20400285032497234,0.00404313583684493,0.1919942139647901,1.0,False,0.25225225225225223,small,raw model comparison,21,15,0
H1,mc_dropout vs lgbm,cal_ece_mean,none,,36,0.0275790565256702,0.030692086346412552,-0.002711564203309999,0.181412478297716,1.0,False,-0.25825825825825827,small,raw model comparison,16,20,0
H1,mc_dropout vs lgbm,cal_brier_score,none,,36,0.14216023683547968,0.12426655853629326,0.003638533329766401,0.24508141286787577,1.0,False,0.22522522522522523,small,raw model comparison,22,14,0
H1,mc_dropout vs xgboost,cal_nll,none,,36,0.2573724091053009,0.2207204923033714,0.0071565136313438416,0.2927546169667039,1.0,False,0.2042042042042042,small,raw model comparison,20,16,0
H1,mc_dropout vs xgboost,cal_ece_mean,none,,36,0.0275790565256702,0.03139668076824225,-0.001122268881384501,0.4506834212807007,1.0,False,-0.14714714714714713,small,raw model comparison,16,20,0
H1,mc_dropout vs xgboost,cal_brier_score,none,,36,0.14216023683547968,0.1262535154819488,0.0019515752792358607,0.3877139012911357,1.0,False,0.16816816816816818,small,raw model comparison,20,16,0
H1,mc_dropout vs catboost,cal_nll,none,,36,0.2573724091053009,0.26396981314894524,0.0016774324275548869,0.7978891460807063,1.0,False,0.05105105105105105,small,raw model comparison,20,16,0
H1,mc_dropout vs catboost,cal_ece_mean,none,,36,0.0275790565256702,0.03851591447796405,-0.00634684521972725,0.0018451741489116102,0.05904557276517153,False,-0.5795795795795796,large,raw model comparison,11,25,0
H1,mc_dropout vs catboost,cal_brier_score,none,,36,0.14216023683547968,0.13082906717292425,0.0007699057243635843,0.9443348394706845,1.0,False,0.015015015015015015,small,raw model comparison,19,17,0
H1,deep_ensemble_m3 vs single_mlp,cal_nll,none,,36,0.23729835450649256,0.24763847887516022,-0.008824568241834647,1.0243093129247427e-06,3.5850825952365994e-05,True,-0.8468468468468469,large,raw model comparison,3,33,0
H1,deep_ensemble_m3 vs single_mlp,cal_ece_mean,none,,36,0.0240772290471783,0.02762454516287365,-0.0007638810884988993,0.23873194330371916,1.0,False,-0.22822822822822822,small,raw model comparison,14,22,0
H1,deep_ensemble_m3 vs single_mlp,cal_brier_score,none,,36,0.134179949760437,0.13891846686601633,-0.004450412467122099,2.2177118808031082e-08,8.427305147051811e-07,True,-0.9279279279279279,large,raw model comparison,4,32,0
H1,deep_ensemble vs single_mlp,cal_nll,none,,36,0.2356910854578018,0.24763847887516022,-0.009334087371826172,1.636421075090766e-06,5.563831655308604e-05,True,-0.8348348348348348,large,raw model comparison,5,31,0
H1,deep_ensemble vs single_mlp,cal_ece_mean,none,,36,0.02370947238255565,0.02762454516287365,-0.00043377595888004564,0.508866571035469,1.0,False,-0.12912912912912913,small,raw model comparison,16,20,0
H1,deep_ensemble vs single_mlp,cal_brier_score,none,,36,0.1341898068785667,0.13891846686601633,-0.005293577909469646,3.66999302059412e-08,1.3578974176198244e-06,True,-0.918918918918919,large,raw model comparison,4,32,0
H1,deep_ensemble_m10 vs single_mlp,cal_nll,none,,36,0.233144462108612,0.24763847887516022,-0.009690422564744967,3.769237082451582e-07,1.3569253496825695e-05,True,-0.8708708708708709,large,raw model comparison,6,30,0
H1,deep_ensemble_m10 vs single_mlp,cal_ece_mean,none,,36,0.02358610322174445,0.02762454516287365,-0.0004353457726583498,0.307420506287599,1.0,False,-0.1981981981981982,small,raw model comparison,17,19,0
